time,real,imag
0.000000,139.045637,0.000000
0.063467,114.140512,0.000000
0.126933,94.074432,0.000000
0.190400,77.848946,0.000000
0.253866,64.681964,0.000000
0.317333,53.958889,0.000000
0.380799,45.195182,0.000000
0.444266,38.007615,0.000000
0.507732,32.092122,0.000000
0.571199,27.206683,0.000000
0.634665,23.158055,0.000000
0.698132,19.791464,0.000000
0.761598,16.982557,0.000000
0.825065,14.631120,0.000000
0.888531,12.656145,0.000000
0.951998,10.991947,0.000000
1.015464,9.585110,0.000000
1.078931,8.392068,0.000000
1.142397,7.377176,0.000000
1.205864,6.511195,0.000000
1.269330,5.770063,0.000000
1.332797,5.133928,0.000000
1.396263,4.586362,0.000000
1.459730,4.113734,0.000000
1.523196,3.704703,0.000000
1.586663,3.349809,0.000000
1.650129,3.041136,0.000000
1.713596,2.772050,0.000000
1.777063,2.536972,0.000000
1.840529,2.331200,0.000000
1.903996,2.150764,0.000000
1.967462,1.992303,0.000000
2.030929,1.852966,0.000000
2.094395,1.730329,0.000000
2.157862,1.622330,0.000000
2.221328,1.527211,0.000000
2.284795,1.443472,0.000000
2.348261,1.369831,0.000000
2.411728,1.305194,0.000000
2.475194,1.248626,0.000000
2.538661,1.199330,0.000000
2.602127,1.156631,0.000000
2.665594,1.119954,0.000000
2.729060,1.088817,0.000000
2.792527,1.062818,0.000000
2.855993,1.041627,0.000000
2.919460,1.024978,0.000000
2.982926,1.012667,0.000000
3.046393,1.004542,0.000000
3.109859,1.000504,0.000000
3.173326,1.000504,0.000000
3.236792,1.004542,0.000000
3.300259,1.012667,0.000000
3.363725,1.024978,0.000000
3.427192,1.041627,0.000000
3.490659,1.062818,0.000000
3.554125,1.088817,0.000000
3.617592,1.119954,0.000000
3.681058,1.156631,0.000000
3.744525,1.199330,0.000000
3.807991,1.248626,0.000000
3.871458,1.305194,0.000000
3.934924,1.369831,0.000000
3.998391,1.443472,0.000000
4.061857,1.527211,0.000000
4.125324,1.622330,0.000000
4.188790,1.730329,0.000000
4.252257,1.852966,0.000000
4.315723,1.992303,0.000000
4.379190,2.150764,0.000000
4.442656,2.331200,0.000000
4.506123,2.536972,0.000000
4.569589,2.772050,0.000000
4.633056,3.041136,0.000000
4.696522,3.349809,0.000000
4.759989,3.704703,0.000000
4.823455,4.113734,0.000000
4.886922,4.586362,0.000000
4.950388,5.133928,0.000000
5.013855,5.770063,0.000000
5.077321,6.511195,0.000000
5.140788,7.377176,0.000000
5.204254,8.392068,0.000000
5.267721,9.585110,0.000000
5.331188,10.991947,0.000000
5.394654,12.656145,0.000000
5.458121,14.631120,0.000000
5.521587,16.982557,0.000000
5.585054,19.791464,0.000000
5.648520,23.158055,0.000000
5.711987,27.206683,0.000000
5.775453,32.092122,0.000000
5.838920,38.007615,0.000000
5.902386,45.195182,0.000000
5.965853,53.958889,0.000000
6.029319,64.681964,0.000000
6.092786,77.848946,0.000000
6.156252,94.074432,0.000000
6.219719,114.140512,0.000000
6.283185,139.045637,0.000000
