time,real,imag
0.000000,122.660688,-0.000000
0.062832,97.978787,-0.000000
0.125664,78.050235,-0.000000
0.188496,61.902808,-0.000000
0.251327,48.773149,0.000000
0.314159,38.059984,-0.000000
0.376991,29.288212,0.000000
0.439823,22.081243,0.000000
0.502655,16.139642,0.000000
0.565487,11.224581,-0.000000
0.628319,7.144986,-0.000000
0.691150,3.747516,-0.000000
0.753982,0.908742,-0.000000
0.816814,-1.470989,-0.000000
0.879646,-3.472376,0.000000
0.942478,-5.160963,-0.000000
1.005310,-6.590140,-0.000000
1.068142,-7.803525,-0.000000
1.130973,-8.836855,-0.000000
1.193805,-9.719495,-0.000000
1.256637,-10.475640,-0.000000
1.319469,-11.125283,0.000000
1.382301,-11.684989,0.000000
1.445133,-12.168521,-0.000000
1.507964,-12.587344,0.000000
1.570796,-12.951035,0.000000
1.633628,-13.267614,0.000000
1.696460,-13.543812,-0.000000
1.759292,-13.785296,-0.000000
1.822124,-13.996846,-0.000000
1.884956,-14.182503,-0.000000
1.947787,-14.345692,0.000000
2.010619,-14.489320,0.000000
2.073451,-14.615862,-0.000000
2.136283,-14.727427,0.000000
2.199115,-14.825812,0.000000
2.261947,-14.912556,0.000000
2.324779,-14.988974,0.000000
2.387610,-15.056191,0.000000
2.450442,-15.115168,0.000000
2.513274,-15.166727,0.000000
2.576106,-15.211570,0.000000
2.638938,-15.250291,0.000000
2.701770,-15.283394,-0.000000
2.764602,-15.311302,-0.000000
2.827433,-15.334363,-0.000000
2.890265,-15.352862,-0.000000
2.953097,-15.367025,0.000000
3.015929,-15.377022,0.000000
3.078761,-15.382973,-0.000000
3.141593,-15.384949,-0.000000
3.204425,-15.382973,0.000000
3.267256,-15.377022,-0.000000
3.330088,-15.367025,0.000000
3.392920,-15.352862,0.000000
3.455752,-15.334363,-0.000000
3.518584,-15.311302,0.000000
3.581416,-15.283394,-0.000000
3.644247,-15.250291,-0.000000
3.707079,-15.211570,-0.000000
3.769911,-15.166727,-0.000000
3.832743,-15.115168,0.000000
3.895575,-15.056191,0.000000
3.958407,-14.988974,-0.000000
4.021239,-14.912556,-0.000000
4.084070,-14.825812,-0.000000
4.146902,-14.727427,-0.000000
4.209734,-14.615862,0.000000
4.272566,-14.489320,-0.000000
4.335398,-14.345692,-0.000000
4.398230,-14.182503,-0.000000
4.461062,-13.996846,-0.000000
4.523893,-13.785296,0.000000
4.586725,-13.543812,0.000000
4.649557,-13.267614,-0.000000
4.712389,-12.951035,-0.000000
4.775221,-12.587344,-0.000000
4.838053,-12.168521,-0.000000
4.900885,-11.684989,-0.000000
4.963716,-11.125283,0.000000
5.026548,-10.475640,0.000000
5.089380,-9.719495,0.000000
5.152212,-8.836855,0.000000
5.215044,-7.803525,0.000000
5.277876,-6.590140,-0.000000
5.340708,-5.160963,0.000000
5.403539,-3.472376,0.000000
5.466371,-1.470989,0.000000
5.529203,0.908742,0.000000
5.592035,3.747516,0.000000
5.654867,7.144986,0.000000
5.717699,11.224581,-0.000000
5.780530,16.139642,-0.000000
5.843362,22.081243,0.000000
5.906194,29.288212,0.000000
5.969026,38.059984,-0.000000
6.031858,48.773149,-0.000000
6.094690,61.902808,0.000000
6.157522,78.050235,-0.000000
6.220353,97.978787,0.000000
